# Simulation 207
# RelativeTime(days) Magnitude Generation Latitude Longitude
Time Mag Gen Lat Lon
7.004	 2.08	 1	 -42.1420	  173.1560
7.011	 2.19	 1	 -40.5391	  170.3844
7.016	 2.28	 1	 -42.5893	  174.2431
7.018	 2.44	 1	 -44.3208	  178.5686
7.031	 2.53	 1	 -41.6252	  172.0799
7.039	 2.26	 1	 -45.9368	  168.7861
7.042	 2.14	 1	 -42.5304	  169.2755
7.046	 2.30	 1	 -41.7957	  172.7688
7.057	 2.20	 1	 -38.2067	  173.4444
7.058	 2.09	 1	 -43.2012	  170.6373
7.065	 3.27	 1	 -41.4250	  167.1524
7.077	 3.00	 1	 -40.4785	  178.3470
7.077	 2.61	 1	 -39.9491	  173.6682
7.078	 2.10	 1	 -41.7142	  170.8100
7.086	 2.20	 1	 -41.9918	  170.0491
7.091	 2.09	 1	 -46.1720	  175.1835
7.097	 2.03	 1	 -38.2412	  173.8881
7.098	 2.51	 1	 -41.4308	  172.2697
7.100	 2.20	 1	 -38.8874	  174.9568
7.102	 2.11	 1	 -42.0454	  174.2369
7.109	 2.21	 1	 -40.4504	  176.2932
7.110	 2.11	 1	 -42.4440	  169.1434
7.114	 3.36	 1	 -41.7091	  171.7207
7.116	 2.03	 1	 -43.9659	  178.8895
7.125	 2.26	 1	 -47.1641	  172.3768
7.126	 2.10	 1	 -44.4105	  171.6908
7.129	 2.49	 1	 -44.0083	  173.2878
7.131	 2.46	 1	 -43.2431	  172.7777
7.150	 2.59	 1	 -45.3969	  172.1844
7.150	 2.53	 1	 -41.6785	  167.8147
7.152	 2.14	 1	 -43.5085	  172.7427
7.155	 2.73	 1	 -45.4022	  177.9044
7.155	 3.28	 1	 -42.6524	  170.6554
7.159	 3.01	 1	 -40.9075	  172.5637
7.162	 2.79	 1	 -41.0556	  171.2398
7.162	 2.34	 1	 -39.8518	  174.1753
7.168	 2.56	 1	 -42.8278	  174.9556
7.175	 2.32	 1	 -39.7275	  177.0452
7.182	 3.47	 1	 -44.0345	  175.4725
7.186	 2.68	 1	 -42.9760	  172.8397
7.196	 2.24	 1	 -43.3423	  171.8158
7.201	 4.23	 1	 -39.4374	  168.8015
7.208	 2.85	 1	 -44.7333	  177.0289
7.216	 2.19	 1	 -42.5938	  173.7146
7.226	 2.50	 1	 -46.4508	  176.3810
7.239	 4.16	 1	 -43.0546	  170.9981
7.252	 2.07	 1	 -42.1458	  172.9685
7.265	 2.32	 1	 -42.5994	  172.8269
7.271	 3.11	 1	 -41.2192	  172.9180
7.276	 2.06	 1	 -41.4324	  170.8765
7.277	 2.42	 1	 -42.4134	  176.1803
7.280	 2.28	 1	 -44.0781	  172.9284
7.280	 2.27	 1	 -43.7909	  170.9531
7.285	 2.61	 1	 -44.1463	  178.8114
7.291	 2.51	 1	 -40.7376	  173.6346
7.294	 2.22	 1	 -45.8483	  168.6640
7.303	 2.13	 1	 -42.4620	  176.0352
7.308	 2.42	 1	 -41.7206	  173.8057
7.324	 2.44	 1	 -42.1890	  166.9428
7.329	 2.45	 1	 -43.4768	  171.3166
