lon,lat,mag,time_string,depth,catalog_id,event_id
173.7428131,-42.06703949,3.351778532,2016-11-27T10:50:53.631000,12.0,,2016p895816
173.7978363,-42.33172226,3.145131303,2016-11-27T09:51:29.320000,7.104823112,,2016p895704
174.1947632,-41.7455368,3.778894148,2016-11-27T09:06:04.494000,15.81293488,,2016p895619
174.2468262,-41.75279617,3.925542982,2016-11-27T09:05:33.288000,7.497797012,,2016p895618
174.254364,-41.73691177,4.890867208,2016-11-27T08:42:16.339000,9.228540421,,2016p895574
174.5695038,-40.92353821,4.530074339,2016-11-27T08:31:11.372000,26.54634285,,2016p895554
173.0349274,-42.59368896,3.019287165,2016-11-27T08:26:18.592000,5.0,,2016p895544
174.3536987,-41.70188904,3.375195813,2016-11-27T08:21:13.140000,8.352389336,,2016p895535
173.4266663,-42.38023758,3.161698984,2016-11-27T07:56:09.881000,4.558705807,,2016p895489
174.0361023,-41.89844513,3.491282365,2016-11-27T07:53:29.688000,15.38036919,,2016p895483
172.9556122,-42.93753052,3.679080671,2016-11-27T07:27:49.632000,5.67479229,,2016p895435
172.9502411,-42.94380569,3.860874503,2016-11-27T07:25:29.180000,6.019042969,,2016p895430
172.9220276,-42.94849014,3.599340688,2016-11-27T07:20:15.487000,7.003866673,,2016p895420
173.5440979,-42.38908005,3.701770737,2016-11-27T06:46:45.773000,7.555152893,,2016p895358
174.4437714,-41.66649246,3.815084609,2016-11-27T06:31:50.873000,12.0,,2016p895329
173.2904968,-43.0153923,3.154781653,2016-11-27T04:43:42.295000,5.0,,2016p895127
173.7246094,-42.10918045,3.082501816,2016-11-27T02:47:49.230000,5.0,,2016p894909
175.2582855,-40.44483948,3.881904187,2016-11-27T02:42:49.859000,5.0,,2016p894900
173.2984009,-42.98994064,3.022915176,2016-11-27T02:26:17.192000,5.0,,2016p894869
176.7752228,-40.58303833,3.171129569,2016-11-27T01:21:37.500000,16.75403595,,2016p894747
173.0875092,-42.59181976,3.405171931,2016-11-27T00:16:53.812000,5.0,,2016p894626
172.4191895,-42.98070908,3.429575409,2016-11-26T23:41:37.067000,5.0,,2016p894560
174.30867,-41.70044708,3.02897613,2016-11-26T23:32:12.438000,11.80160141,,2016p894542
173.7739258,-42.29501724,3.251752896,2016-11-26T23:22:00.601000,8.767251015,,2016p894523
173.7742615,-42.2081337,3.62034733,2016-11-26T22:50:38.433000,5.0,,2016p894464
173.8244324,-42.01338196,3.196898593,2016-11-26T22:47:39.032000,24.51093674,,2016p894458
174.1971436,-41.78076935,3.0599134,2016-11-26T21:24:36.478000,12.85231876,,2016p894302
174.2371979,-41.77415466,4.177563065,2016-11-26T20:33:28.681000,11.96108341,,2016p894206
173.7679901,-42.29090118,3.288047823,2016-11-26T20:10:17.555000,11.80578804,,2016p894163
173.7585754,-42.04361725,3.212795658,2016-11-26T19:37:32.966000,5.0,,2016p894101
172.9584045,-42.95882034,3.05383041,2016-11-26T19:14:55.512000,5.369381905,,2016p894059
173.7412262,-42.07262802,3.273977179,2016-11-26T19:12:01.511000,5.0,,2016p894054
174.1682587,-41.68457031,3.69591693,2016-11-26T18:08:51.391000,9.139285088,,2016p893935
172.7317352,-43.51850891,3.025337231,2016-11-26T17:39:54.385000,3.339511156,,2016p893881
172.9244995,-42.9501915,3.270777936,2016-11-26T17:12:34.173000,6.454620838,,2016p893829
176.6326904,-40.62740326,3.124675863,2016-11-26T16:48:26.222000,14.11206436,,2016p893784
175.3891868,-40.25830462,3.005073732,2016-11-26T15:44:11.028000,20.9375,,2016p893663
173.5304413,-42.18950272,3.756856507,2016-11-26T15:43:29.432000,5.0,,2016p893662
173.6054077,-42.23485184,3.568815405,2016-11-26T15:14:23.526000,5.0,,2016p893608
173.247467,-42.53860092,3.008206192,2016-11-26T14:23:53.364000,5.0,,2016p893513
173.3551331,-42.50064468,3.350110839,2016-11-26T13:45:41.262000,5.0,,2016p893441
173.4387054,-42.4413414,3.269457465,2016-11-26T13:03:57.406000,4.834822655,,2016p893363
172.882019,-42.66155243,3.225861093,2016-11-26T12:56:05.260000,5.0,,2016p893348
174.3013306,-41.71019363,3.88313078,2016-11-26T12:26:37.137000,13.68858528,,2016p893292
173.7411194,-42.30532074,3.036887524,2016-11-26T11:56:34.850000,9.484355927,,2016p893236
173.6489563,-42.21192932,3.027094642,2016-11-26T11:30:06.039000,5.0,,2016p893187
174.9815979,-40.41495132,3.211955934,2016-11-26T11:18:00.928000,28.08832169,,2016p893164
