# Simulation 509
# RelativeTime(days) Magnitude Generation Latitude Longitude
Time Mag Gen Lat Lon
7.001	 2.12	 1	 -42.0524	  174.2413
7.006	 2.04	 1	 -42.2368	  176.4401
7.020	 2.14	 1	 -43.9747	  167.1583
7.022	 2.10	 1	 -42.7363	  173.0879
7.023	 2.04	 1	 -41.6455	  174.1881
7.025	 2.09	 1	 -46.3888	  169.6309
7.027	 2.15	 1	 -42.5631	  173.1180
7.059	 3.05	 1	 -45.2062	  178.0948
7.060	 2.11	 1	 -41.7661	  174.2585
7.060	 2.30	 1	 -42.2998	  175.1791
7.073	 2.49	 1	 -38.9416	  169.6482
7.079	 2.02	 1	 -47.1058	  174.1948
7.082	 2.42	 1	 -42.6851	  170.6766
7.083	 2.01	 2	 -42.7529	  170.5885
7.083	 2.70	 1	 -39.3588	  173.9852
7.092	 2.19	 1	 -45.3805	  172.2978
7.092	 2.03	 1	 -42.5792	  173.0568
7.102	 2.10	 1	 -38.2469	  172.1033
7.112	 2.25	 1	 -42.4079	  172.7194
7.116	 2.01	 1	 -46.5872	  176.0800
7.121	 2.14	 1	 -42.5721	  173.2267
7.123	 4.13	 1	 -41.7337	  171.1043
7.126	 2.18	 1	 -42.3578	  174.0341
7.128	 3.45	 1	 -40.2038	  167.9268
7.129	 2.28	 1	 -45.0140	  168.1587
7.141	 2.41	 1	 -41.7424	  173.6792
7.142	 2.48	 1	 -40.3096	  172.4956
7.147	 2.42	 1	 -44.8640	  175.1095
7.153	 2.13	 1	 -42.5985	  172.4653
7.163	 2.57	 1	 -44.1425	  172.1476
7.164	 2.25	 1	 -44.6743	  170.3599
7.176	 2.17	 1	 -42.9060	  166.9112
7.180	 2.10	 1	 -39.0457	  172.1251
7.193	 3.19	 1	 -43.3896	  168.8078
7.197	 2.58	 1	 -45.0924	  172.0697
7.209	 2.37	 1	 -41.2653	  174.1347
7.237	 2.02	 1	 -41.8574	  174.1804
7.246	 2.04	 1	 -41.8534	  173.8594
7.248	 2.42	 1	 -40.6071	  176.5755
