# Simulation 313
# RelativeTime(days) Magnitude Generation Latitude Longitude
Time Mag Gen Lat Lon
0.504	 2.87	 1	 -42.7228	  172.4834
0.504	 2.59	 1	 -42.0928	  173.1732
0.505	 3.43	 1	 -42.8148	  172.3895
0.505	 2.30	 1	 -42.4412	  166.9139
0.506	 2.17	 1	 -43.5648	  173.8251
0.513	 2.72	 1	 -43.2670	  173.0740
0.515	 2.36	 1	 -42.6191	  173.2353
0.515	 2.00	 1	 -43.1337	  174.3503
0.517	 2.22	 1	 -42.6461	  172.6352
0.519	 2.24	 1	 -42.9777	  173.4100
0.520	 2.13	 1	 -42.8855	  173.3974
0.523	 2.23	 1	 -42.2793	  172.9236
0.526	 2.16	 1	 -43.7004	  172.6493
0.530	 2.67	 1	 -42.1431	  173.8249
0.534	 2.13	 1	 -43.1005	  172.6274
0.535	 2.09	 1	 -41.4757	  170.8008
0.538	 3.24	 1	 -41.8383	  173.3241
0.543	 2.06	 1	 -42.3508	  172.7891
0.547	 2.53	 1	 -42.5349	  172.7366
0.548	 2.39	 1	 -42.5923	  173.2749
0.551	 2.25	 1	 -43.1870	  172.8734
0.555	 2.22	 1	 -43.2958	  173.0962
0.557	 2.96	 1	 -42.3416	  173.2726
0.560	 2.64	 1	 -44.5269	  172.7169
0.560	 2.14	 1	 -39.9075	  175.0184
0.561	 2.02	 1	 -42.6033	  173.1044
0.563	 2.78	 1	 -42.8468	  172.7706
0.565	 2.47	 1	 -42.8234	  173.1463
0.566	 3.99	 1	 -42.4829	  173.1354
0.573	 2.12	 1	 -43.0961	  172.4556
0.577	 2.87	 1	 -43.9404	  173.2530
0.582	 2.14	 1	 -42.5415	  172.8888
0.582	 2.06	 1	 -42.6022	  173.4202
0.586	 2.84	 1	 -42.5945	  172.7045
0.588	 2.71	 1	 -42.5102	  172.8650
0.588	 2.24	 1	 -42.7623	  172.9830
0.591	 2.02	 1	 -42.4382	  173.1597
0.595	 2.04	 1	 -42.4516	  173.1077
0.595	 2.25	 1	 -42.9908	  173.8681
0.597	 2.07	 1	 -42.4754	  173.0113
0.599	 2.05	 1	 -42.7033	  173.1064
0.600	 2.24	 1	 -43.6309	  171.2824
0.602	 2.79	 1	 -42.3410	  172.6186
0.604	 2.35	 1	 -42.9625	  172.6496
0.605	 2.88	 1	 -42.9944	  172.6326
0.609	 2.15	 1	 -42.8625	  172.7404
0.618	 2.18	 1	 -42.5070	  172.5336
0.620	 2.22	 1	 -41.2895	  178.8345
0.625	 2.58	 1	 -40.8489	  173.7429
0.626	 3.13	 1	 -43.1234	  173.4769
0.629	 2.39	 1	 -42.3806	  172.8432
0.631	 2.05	 1	 -42.2116	  174.2759
0.631	 2.20	 1	 -42.0253	  171.5168
0.632	 2.12	 1	 -43.0924	  169.6677
0.634	 2.13	 1	 -43.4845	  169.4847
0.635	 2.03	 1	 -42.6303	  172.3895
0.635	 2.16	 1	 -42.5761	  173.3056
0.645	 2.42	 1	 -42.0447	  173.4433
0.646	 2.13	 1	 -42.0844	  173.3327
0.651	 2.48	 1	 -42.4541	  172.0915
0.651	 2.71	 1	 -42.8015	  173.7916
0.656	 2.62	 1	 -42.6447	  172.6688
0.657	 2.32	 1	 -42.6540	  172.2389
0.660	 2.15	 1	 -42.4303	  173.3460
0.660	 2.70	 1	 -42.6014	  173.0469
0.663	 2.12	 1	 -42.8976	  173.2169
0.672	 2.33	 1	 -42.3686	  173.2246
0.680	 2.43	 1	 -42.4636	  172.5264
0.683	 2.41	 1	 -43.0382	  174.0578
0.684	 2.07	 1	 -42.8345	  173.4015
0.684	 3.30	 1	 -43.0554	  172.6400
0.684	 2.31	 1	 -42.6065	  172.0224
0.687	 2.24	 1	 -42.7659	  173.0351
0.690	 2.14	 1	 -43.2893	  172.4387
0.692	 2.39	 1	 -40.0721	  171.6634
0.714	 3.70	 2	 -43.4809	  169.4770
0.719	 2.77	 1	 -42.8088	  173.2318
0.722	 2.49	 1	 -42.8759	  173.3065
0.722	 2.23	 1	 -42.0886	  172.6273
0.728	 2.18	 1	 -40.6666	  172.4470
0.729	 2.64	 1	 -42.7879	  173.4582
0.732	 2.02	 1	 -42.8349	  172.5877
0.733	 2.20	 1	 -43.6021	  167.0308
0.738	 2.35	 1	 -42.8650	  172.5499
0.739	 2.15	 1	 -43.0151	  173.0005
0.740	 2.78	 1	 -43.3791	  172.6722
0.747	 2.28	 1	 -45.4036	  177.9029
0.750	 2.32	 1	 -40.3593	  172.0067
0.751	 2.11	 1	 -41.7113	  172.2348
0.757	 2.35	 1	 -43.3325	  172.5452
0.764	 2.37	 1	 -41.7728	  179.0106
0.766	 2.24	 1	 -41.6215	  167.0804
0.768	 2.13	 1	 -42.5533	  173.2310
0.769	 2.79	 1	 -41.1975	  167.2524
0.776	 2.19	 1	 -42.2931	  173.0005
0.778	 2.30	 1	 -42.9978	  173.1643
0.785	 2.04	 1	 -39.9958	  173.9707
0.785	 2.55	 1	 -42.3596	  173.0347
0.785	 2.02	 1	 -42.4076	  173.5158
0.789	 2.36	 1	 -42.4339	  173.6386
0.796	 3.48	 1	 -42.8440	  172.1904
0.797	 2.26	 1	 -41.2846	  178.8323
0.800	 2.26	 1	 -42.9856	  173.5090
