metric,n_points,best_one_break_index,one_break_after_label,one_break_before_label,one_break_after_issue_hours,one_break_after_issue_days,best_break1_index,best_break2_index,break1_after_label,break1_before_label,break2_after_label,break2_before_label,break1_after_issue_hours,break2_after_issue_hours,break1_after_issue_days,break2_after_issue_days,sse_null,sse_one_break,sse_two_break,delta_sse_one_vs_null,delta_sse_two_vs_null,delta_sse_two_vs_one,bic_null,bic_one_break,bic_two_break,perm_p_one_vs_null,perm_p_two_vs_null,perm_p_two_vs_one,break1_bootstrap_support_percent,break2_bootstrap_support_percent
count_ratio,8,5,1 d,2 d,24.0,1.0,2,5,2 h,6 h,1 d,2 d,2.0,24.0,0.08333333333333333,1.0,2.8337650605296707,0.17724186627559618,0.17200714406668655,2.6565231942540746,2.6617579164629843,0.005234722208909637,-6.2232408915591275,-26.318569274509876,-24.47896185047771,0.0362963703629637,0.012698730126987301,0.9696030396960303,100.0,100.0
log10_weekly_crps,8,6,2 d,3 d,48.0,2.0,4,6,12 h,1 d,2 d,3 d,12.0,48.0,0.5,2.0,1.2826069742870754,0.5470470857745601,0.5347261374470651,0.7355598885125153,0.7478808368400103,0.012320948327494974,-12.564933149083165,-17.3024124519847,-15.405212154560743,0.07169283071692831,0.08439156084391561,0.8452154784521548,100.0,100.0
